year,month,day,hour,season,is_weekend,station_type,temperature_C,humidity_pct,wind_speed_kmh,rainfall_mm,traffic_density,vehicles_per_km2,industrial_proximity,population_density,green_cover_pct,PM2_5,PM10,NO2,SO2,CO,O3,Benzene,Toluene,dew_point_C,atm_pressure_hpa,visibility_km,wind_direction_deg,solar_radiation_wm2,cloud_cover_pct,road_dust_index,construction_activity_index,uv_index,pollen_count,mixing_layer_height_m,boundary_layer_temp_C,soil_moisture_index,aerosol_optical_depth,black_carbon_ugm3,organic_carbon_ugm3,secondary_organic_aerosol,nitrate_ugm3,sulfate_ugm3,ammonium_ugm3,methane_ppm,formaldehyde_ugm3,xylene_ugm3,heavy_metal_index,lead_ngm3,arsenic_ngm3,noise_level_db,light_pollution_index,waste_burning_index,crop_burning_index,diesel_generator_index,two_wheeler_density,power_plant_proximity,AQI
2023,6,26,20,Monsoon,0,Background,28.3,31.0,3.5,0.27,29.4,356.0,2.5,69.0,12.4,75.5,116.1,47.3,23.2,1.47,78.5,3.53,7.62,18.9,1004.8,13.1,1.672,-0.6002,-1.6459,-0.1978,1.0802,-0.2246,-0.5635,0.6902,0.0386,1.1581,0.7636,1.3162,-0.4078,-1.0123,-0.8939,-2.4362,-0.6835,0.5264,-0.575,0.2886,1.3911,-0.054,0.1272,0.0646,-0.7282,-1.0298,-0.6357,-0.6778,-0.8265,0.2602,139.4
2022,10,27,5,Autumn,0,Residential,31.6,79.5,5.6,0.62,124.5,1487.0,2.7,66.0,7.3,241.6,371.4,145.3,66.0,4.76,62.6,11.05,23.19,20.3,1002.4,9.0,0.7431,-0.1625,0.5609,0.6393,-0.8542,0.8959,-0.4995,-1.6863,0.2786,-0.497,-0.5559,0.3729,-1.023,-0.7901,0.0314,-1.3632,-0.6499,-0.5858,0.6322,0.2265,-0.2794,-0.2655,-1.3097,0.4673,-0.41,0.0775,-0.2787,1.3109,0.6481,-0.3887,299.2
2019,8,5,3,Monsoon,0,Traffic,43.6,55.8,22.7,3.61,31.0,398.0,4.5,112.0,5.6,85.3,125.5,50.1,21.0,1.44,82.9,3.98,8.48,28.3,999.5,12.6,-1.5611,1.2494,-0.1253,0.1344,-0.0429,-0.2435,-0.5066,0.6702,1.7093,2.1394,0.3294,-0.5534,0.7657,-0.1406,-1.9241,0.7695,0.6143,-0.9164,-1.0898,-2.3573,1.1961,0.6218,0.8703,-0.0557,0.2817,1.5527,-0.5146,-0.7674,-1.1083,-1.1344,259.0
2020,10,6,17,Autumn,0,Background,11.1,54.1,16.7,0.79,106.3,1272.0,1.9,64.0,13.9,182.5,279.0,109.7,52.3,3.75,56.8,8.12,16.96,8.5,1010.6,10.3,0.9242,-1.6214,-0.6629,-0.8952,-0.3458,-0.3589,-0.8146,-1.7304,-0.8727,-1.0657,1.4641,0.5019,0.5151,1.7322,0.1708,-2.036,-0.9879,-0.4039,1.9376,1.3361,-0.3534,-0.8599,-1.0191,-0.2637,1.4415,0.7906,-0.7348,1.4463,0.3892,0.6408,121.4
2019,2,18,2,Winter,0,Industrial,33.4,91.0,0.9,1.34,60.7,734.0,6.5,62.0,7.6,176.3,262.3,104.9,50.6,3.48,68.6,7.87,16.12,22.4,1002.6,10.5,0.4552,-0.4541,-0.7927,-0.9295,0.8678,-0.6396,0.737,0.0384,-0.8664,-0.1055,2.4991,0.7045,-0.4302,-1.1097,-0.2094,-0.1969,-1.0225,-0.5431,-0.8695,1.0769,0.3191,-0.7154,0.5773,0.1044,-0.403,2.8684,0.0902,0.8383,0.2939,0.414,350.0
2019,4,4,7,Spring,0,Residential,32.7,79.6,4.0,5.67,51.9,606.0,4.4,93.0,13.2,138.6,206.1,84.0,40.6,2.74,63.9,6.14,13.05,20.0,1003.4,11.5,-0.9482,-0.4674,0.9617,-0.9213,0.3784,1.2304,-0.331,0.6837,0.4274,-1.8905,0.5952,0.4938,-0.629,-1.0006,-0.7905,-2.6317,0.7918,-0.0598,-0.1528,-1.8592,0.4117,-1.9962,1.0882,-0.1546,-1.0253,0.3853,1.7995,-0.1227,-0.7218,0.508,268.7
2022,7,22,4,Monsoon,0,Industrial,24.8,68.4,6.4,0.52,79.2,958.0,3.0,87.0,11.2,162.5,236.3,96.8,43.9,3.34,61.8,7.48,15.89,16.3,1004.2,10.3,-0.3711,-0.506,-0.9013,0.7505,-0.4973,-0.1598,1.1485,2.2296,-0.4745,-0.17,1.7978,-1.7308,-0.814,-1.1855,1.0726,0.1649,-0.8758,-0.3965,-1.3993,-0.1418,0.1514,-0.348,-0.9302,-0.8826,-0.3082,0.9709,-0.0246,1.7299,-1.4487,-0.9632,205.4
2019,1,9,15,Winter,1,Residential,33.1,81.6,5.6,0.99,98.4,1171.0,2.6,91.0,1.8,194.8,285.5,120.1,53.0,4.1,61.0,,18.28,20.3,1003.8,9.4,0.5814,1.5215,1.4025,1.3252,-0.5216,0.7329,-1.4503,1.2204,1.6239,-0.0417,1.9083,-0.311,-2.6523,0.1538,-0.6623,1.0788,-1.2391,0.2501,-2.4898,-2.2436,-0.9415,1.2665,1.8487,-0.3463,-0.4176,-1.6781,-0.9689,-0.0666,0.4865,0.649,273.8
2022,4,11,20,Spring,1,Residential,34.4,57.2,1.7,1.87,36.3,434.0,2.3,100.0,25.9,82.4,115.9,48.3,22.0,1.57,90.1,3.5,7.02,22.6,1001.0,12.7,0.8531,-0.9026,0.8091,-0.7524,-1.5123,0.6471,-0.2317,-0.9652,0.3901,-0.1894,-0.7486,1.4616,0.1365,2.0991,-1.2001,-0.2709,1.7891,0.8006,0.087,-0.966,-0.4338,0.8875,-0.2879,0.7863,-1.3057,-0.5937,-0.0691,0.6113,2.5642,0.8076,184.7
2019,10,3,20,Autumn,1,Residential,13.6,66.3,15.7,2.82,52.2,636.0,5.7,100.0,3.1,124.2,,74.0,34.5,2.51,75.3,5.93,12.43,8.5,1008.5,12.1,1.3778,-2.154,0.2892,-0.081,-0.793,-1.7884,-0.3771,-1.6815,0.5824,-1.3957,-1.4645,1.2574,0.2386,0.1427,1.8218,0.0952,-1.5998,-1.7026,-0.9604,-0.6684,-0.522,-0.7621,0.2883,-0.8765,0.5787,0.8627,-1.0131,-0.9175,-0.1932,0.4392,190.2
2021,4,4,0,Spring,0,Residential,41.7,38.2,9.0,4.64,86.2,1031.0,2.1,86.0,17.2,146.5,222.0,90.2,42.7,3.18,72.1,6.65,13.65,27.2,1001.0,11.2,0.2994,-0.1267,0.1169,1.449,-0.3302,-0.6232,-1.3161,-0.1568,-0.1558,1.3701,0.0234,0.1084,-0.4731,-1.1308,0.5888,0.5889,0.9116,-0.3375,0.2645,1.4813,-0.1032,0.289,-0.8276,-1.4277,-0.2799,0.7725,1.6561,0.8797,-2.5897,-2.0054,195.4
2022,7,25,16,Monsoon,1,Traffic,12.0,46.2,14.6,4.94,72.2,855.0,1.0,89.0,16.4,110.9,172.8,68.6,29.0,2.26,68.7,5.19,10.38,8.8,1010.5,12.8,1.0056,-0.1783,-0.6167,1.3783,-0.4317,1.0965,0.1826,0.9963,-1.2573,0.4909,0.7357,-0.8694,0.7985,2.135,0.4285,1.1559,0.5169,0.428,0.6527,0.3147,-0.4637,1.0015,-1.6619,0.4488,1.3391,-0.2195,0.5892,0.1503,-0.3421,-1.4519,73.2
2019,12,24,8,Winter,0,Residential,15.8,55.2,15.7,3.0,92.5,1110.0,2.0,87.0,5.7,159.8,234.3,96.3,45.5,3.16,63.6,7.0,14.74,9.8,1007.3,10.6,-0.697,-1.0439,-0.8539,-1.3014,0.2974,1.0045,0.8254,1.8518,1.0885,-1.4674,-1.4623,-0.9248,1.6739,1.0728,1.404,-0.9358,-2.2191,-1.128,0.8143,-0.9057,0.6585,0.5937,-0.135,-0.4675,-1.0527,-0.3758,-1.1845,-0.1668,-0.0982,-0.1542,119.0
2019,9,20,0,Autumn,0,Traffic,23.6,59.5,11.0,0.52,77.9,924.0,7.7,89.0,7.3,206.0,308.1,122.7,58.3,4.39,57.8,9.44,19.83,16.4,1005.5,9.6,1.8163,-0.6019,0.8194,-0.4432,0.9299,-0.6584,-0.708,0.0809,1.1385,0.5267,0.564,0.6714,-0.4302,0.9542,0.1149,1.4051,-0.6183,-0.3495,1.319,0.5504,-0.0936,0.9036,-0.8303,0.6928,1.2578,-0.1761,-0.9367,0.3734,-0.815,-0.0479,264.4
2019,12,3,22,Winter,1,Industrial,43.3,77.8,4.6,0.05,110.2,1319.0,1.2,57.0,5.1,211.1,315.3,126.1,58.2,4.03,59.4,,20.53,27.7,1000.5,9.9,0.0572,0.1687,-2.0624,-0.7273,-0.3012,0.4544,0.7425,0.0637,0.7639,-1.4304,0.126,-0.1249,0.0814,-0.5487,-1.2757,0.1584,0.5818,1.0232,1.1889,-1.0015,2.3572,2.2104,-1.1008,-0.0337,-0.8068,1.3364,1.2914,-1.0784,0.5147,-0.2032,322.0
2021,10,22,21,Autumn,0,Industrial,23.2,82.3,7.5,0.97,69.5,835.0,9.1,105.0,23.4,218.4,327.2,139.5,62.7,4.41,50.1,10.1,21.3,15.1,1004.4,8.4,1.4565,0.2253,-0.2078,-0.0416,-0.2817,0.5293,0.6414,0.0682,-0.012,-0.023,1.0315,-0.3546,0.343,-0.3175,-0.6263,2.2412,0.0663,-0.3968,-1.1378,0.3514,-0.3564,1.0472,0.0897,1.1011,-1.523,-0.0743,0.2736,-2.4577,0.0386,-0.3438,350.0
2020,11,18,6,Autumn,0,Industrial,25.7,98.0,1.4,0.31,70.5,851.0,2.2,111.0,4.6,,,93.4,44.6,2.95,69.6,6.57,14.51,17.7,1005.7,11.8,1.0152,0.2108,1.0415,0.2437,0.681,-0.0811,0.0396,-0.5245,1.8207,0.7602,0.9577,0.0645,-1.5263,0.5637,-0.0709,0.1951,1.7163,-1.4906,-0.0743,-0.2994,1.2819,-0.0956,0.1914,0.7761,1.0084,1.4302,-1.1924,-1.5794,-0.5474,1.3505,250.3
2022,5,11,18,Spring,0,Background,38.9,98.0,9.0,2.48,73.0,883.0,2.1,102.0,2.6,140.5,214.4,85.7,41.6,2.9,69.9,6.08,12.98,25.3,1000.6,11.8,0.2446,0.3852,-0.6943,0.3052,-1.4029,-2.3886,-0.2993,-2.3181,0.6794,0.9269,0.4056,-0.3758,-0.8299,0.2213,0.5063,-1.7494,-0.316,0.4985,-0.8934,1.2206,-1.0662,-0.9471,-0.2887,-1.2805,-0.9774,-0.0201,-0.0496,-0.8897,-0.282,0.355,316.5
2023,7,2,11,Monsoon,1,Residential,23.3,80.6,1.6,2.16,61.4,732.0,10.0,100.0,16.8,227.2,336.3,136.1,,4.62,44.1,10.34,21.78,15.8,1006.4,9.8,-0.4759,-1.0616,-0.0034,-0.2219,1.4013,-0.5757,-0.679,-0.3116,0.4443,1.0295,-0.112,0.0814,-1.9502,0.3329,1.3414,-1.4675,-1.778,0.0678,0.2301,-0.7818,-0.7185,0.0593,-0.1271,-0.3511,0.3224,0.2047,1.5844,0.2011,1.3965,0.1553,350.0
2021,4,19,17,Spring,0,Background,15.4,33.2,9.5,0.09,86.2,1017.0,3.6,66.0,10.7,180.4,268.6,112.7,,3.08,45.5,8.0,16.86,9.4,1009.2,10.2,-1.1577,0.4012,0.6695,-0.1412,0.5004,0.4595,0.7689,1.0135,-0.2361,-0.2795,-0.0107,-1.4432,0.3188,0.0018,1.2102,0.8867,-0.4074,-1.0612,0.1147,-0.1566,-0.2339,-0.0004,0.4234,-1.6473,0.2416,-0.3251,0.36,1.2031,-0.4918,0.979,162.2
2021,2,22,16,Winter,0,Residential,22.2,85.8,2.1,3.62,70.9,832.0,5.4,57.0,17.2,177.3,271.4,100.2,49.1,3.7,,8.2,,11.9,1007.2,10.9,-0.7882,-0.5117,0.8648,0.2511,-0.3737,-1.3109,-0.4081,0.9668,0.9814,-1.5143,0.8756,-0.1872,-1.1706,1.205,-0.3866,0.6102,0.1885,0.2393,1.4314,0.664,-0.3328,1.2264,0.7177,0.1203,1.2836,0.0711,0.1548,1.3359,-0.9419,1.1178,251.8
2019,3,27,22,Spring,1,Residential,38.3,94.0,1.0,0.57,84.7,1019.0,1.4,106.0,6.7,176.8,266.1,108.5,48.9,3.59,55.9,8.38,17.28,25.6,1001.8,10.5,-0.0552,0.8071,1.2359,0.8402,-0.499,1.6584,0.6371,-1.1668,-0.1095,-0.4334,-0.1177,-0.0009,-0.5039,1.3067,-1.6473,0.0653,0.0566,-0.6815,1.2508,1.592,-2.3681,0.3524,-0.455,1.0484,-0.5714,0.4017,0.2227,0.6375,0.8801,-0.4442,328.0
2022,2,17,22,Winter,0,Traffic,26.6,62.5,1.4,1.13,88.6,1055.0,2.4,89.0,20.5,174.5,265.6,105.2,48.4,3.72,57.0,7.78,16.3,17.5,1005.0,10.9,1.0434,0.1489,-0.1555,0.9213,-2.4422,-0.455,0.7353,0.594,-1.728,-0.4826,-0.4863,-0.1556,-0.6959,1.1841,0.1111,1.3359,-0.7288,-0.4053,0.1801,0.2631,0.2838,-1.1792,0.093,2.1774,0.5187,0.7294,0.0189,0.1558,-0.3143,-0.5016,236.6
2021,7,13,8,Monsoon,0,Traffic,43.4,29.5,0.5,2.2,75.7,904.0,1.0,92.0,3.9,154.6,231.6,93.5,41.1,2.94,64.2,6.87,14.6,26.7,1000.6,11.6,-1.724,-0.4306,0.1342,-1.6985,-0.4613,1.93,0.3289,-1.1843,-0.2075,-1.4583,2.5394,1.4621,-1.2528,-0.9073,0.6887,1.0496,-0.4093,1.7016,-0.1282,-2.2785,1.5015,-0.3677,-0.868,-0.1647,0.5984,0.181,1.4722,0.9068,0.3293,0.6303,213.7
2019,7,3,18,Monsoon,0,Residential,32.6,63.7,10.1,1.12,77.5,911.0,1.9,93.0,5.3,145.3,222.2,91.0,,2.87,62.9,6.39,13.97,22.3,1002.5,10.7,0.4634,-1.0526,0.1186,0.0015,0.2151,-1.1321,1.2829,0.6779,0.8467,-0.0424,-0.0674,-0.2395,-0.88,-0.223,-0.222,-0.3039,-1.3995,-1.5007,0.1685,-0.1411,-2.4699,0.7585,0.3735,1.035,-0.3001,0.9055,1.0176,-0.9951,-0.7977,-0.9814,218.3
2022,9,2,1,Autumn,0,Industrial,20.2,76.1,10.5,1.16,39.7,476.0,2.5,94.0,1.0,75.6,115.2,50.1,19.2,1.63,72.4,3.38,7.24,13.2,1006.4,12.4,0.8185,-0.9242,-0.2912,-0.2438,0.006,-1.5414,0.1775,0.5711,-0.4074,-0.16,0.5285,0.6504,-0.4912,-1.3295,-0.56,-0.9921,0.2326,-1.1557,0.7169,1.0707,0.4531,0.4053,1.0562,-0.2675,-0.679,-0.4806,-1.2367,-0.4406,0.1194,-0.0453,173.6
2022,9,16,7,Autumn,0,Traffic,26.5,64.4,5.8,0.14,51.2,611.0,2.3,102.0,14.9,868.042877042129,158.4,66.7,32.0,2.21,64.5,5.14,10.51,17.0,1005.5,12.4,-0.2866,0.0881,0.6838,-0.5458,0.622,-0.5656,0.1253,1.3599,1.4982,-0.8075,1.3575,1.2424,0.671,-0.2863,-0.7129,-2.4028,1.036,1.9993,0.5444,1.7053,0.5251,-0.4012,1.6055,-1.0181,0.7812,0.4621,1.5184,-0.4652,1.9591,0.7068,213.0
2023,6,26,0,Monsoon,0,Traffic,18.3,52.7,1.4,,86.1,1025.0,2.7,86.0,4.5,182.7,267.8,109.5,52.8,3.65,54.0,8.17,17.08,12.0,1007.6,10.3,-0.7473,-0.0825,0.6964,-1.0713,0.7482,1.6992,0.6252,1.7354,-0.47,-0.6587,-1.0708,-0.2587,-0.3132,-0.3482,1.4357,-1.1251,-1.0242,-0.7448,0.5947,0.5696,0.5449,2.1011,0.5502,0.9506,-0.3248,-0.1197,-2.5211,0.7248,0.5263,-0.086,186.5
2021,10,8,20,Autumn,1,Residential,20.0,58.6,0.7,2.9,100.6,1211.0,2.4,46.0,5.9,216.2,320.4,126.9,57.4,3.93,45.3,10.1,21.53,13.6,1008.7,10.0,-0.2239,0.693,0.1023,-0.9302,0.4039,-0.148,-1.1728,-1.4682,-1.1858,-0.4386,1.404,-2.0666,-2.2542,-0.456,-0.6575,-2.1852,0.6093,0.6911,1.7217,0.9784,1.3665,-1.0187,-0.636,-0.1258,0.1902,-0.3705,0.4938,0.039,1.453,1.0369,219.4
2019,9,23,22,Autumn,1,Industrial,45.0,83.3,0.5,4.93,16.5,184.0,1.0,103.0,20.2,34.9,52.1,20.7,8.3,0.67,96.1,1.81,3.44,28.6,1000.3,,0.2791,-0.5705,-0.7374,-0.4887,0.4139,-1.0579,-2.0576,-1.047,1.8973,-1.5129,1.4882,-0.405,0.0891,0.9908,1.0374,-1.8532,0.9209,-0.9624,-0.5594,-1.0097,1.0629,0.6836,1.5812,0.7319,1.9052,2.0129,-0.851,-0.397,-1.8565,0.2875,267.1
2021,4,24,14,Spring,0,Industrial,35.2,68.5,1.4,1.07,50.8,615.0,1.9,101.0,24.6,110.9,162.4,71.1,27.9,2.42,71.6,5.07,,21.8,1001.6,11.3,0.9239,0.2899,-0.0077,-0.7078,-0.6799,0.9197,2.3351,0.7527,0.1984,0.3133,-0.5268,-1.8165,-1.4491,1.5314,0.6474,-0.0436,2.222,-1.4659,-0.4583,0.8299,0.36,-1.3052,-0.5492,-1.5344,0.7112,-1.0069,-0.2118,-0.0684,0.8587,-0.324,210.2
2021,3,1,18,Spring,0,Residential,33.7,86.5,17.7,1.1,65.6,768.0,3.4,60.0,7.4,117.1,180.3,69.3,32.5,2.46,,5.26,10.92,21.0,1002.2,11.8,-0.7194,-0.4266,-0.8268,-0.9937,2.4231,-0.179,-0.2032,-0.649,1.409,-1.8867,0.8838,0.3421,-0.0944,0.2989,0.8333,0.0554,1.0245,0.6436,-1.0784,-0.076,0.7179,0.3079,-1.0145,-0.1557,-1.2828,-0.1315,-1.0027,0.1046,-2.927,-0.7707,252.1
2023,2,9,13,Winter,0,Traffic,20.4,79.6,2.2,2.43,43.0,536.0,3.9,62.0,2.3,112.6,171.1,61.9,31.7,2.26,74.2,,,14.2,1006.7,12.1,-0.7473,1.5238,-1.554,1.0583,1.4347,0.5024,0.2892,-0.0455,0.0697,0.2997,-0.8584,-1.365,-0.9516,-0.7464,-1.6813,0.1534,0.7947,0.1385,0.3437,-1.1635,-0.368,0.1654,-0.7961,0.4491,-0.7238,0.8291,0.0344,-2.1739,1.7075,-0.7223,207.0
2021,8,13,4,Monsoon,1,Traffic,40.1,56.5,3.5,5.72,44.4,533.0,7.4,107.0,15.8,160.7,240.5,93.4,44.8,3.06,65.7,7.53,15.63,24.0,1002.3,10.7,0.4358,-0.0604,-0.3635,0.6405,-1.1789,-0.318,0.4324,-0.2332,1.1538,-0.4009,-0.9778,-0.5316,-0.0282,0.3572,0.8733,-0.4424,-1.2095,1.2696,-0.0374,-0.5515,0.9469,-0.1546,-0.3327,-0.6255,-1.6425,-0.7253,0.1269,-0.7604,-1.453,0.9525,329.4
2022,4,8,20,Spring,0,Residential,35.9,75.1,0.9,0.62,76.9,945.0,1.0,113.0,14.3,159.8,240.2,94.5,47.7,3.17,74.1,7.14,15.32,23.6,1002.4,10.3,-0.919,0.2987,-0.9355,-0.4525,1.4871,1.2702,-0.4915,0.9271,0.3523,-0.2414,-1.1794,0.7768,1.2191,-0.4854,-0.4624,-1.1754,-0.9492,-0.6269,0.3228,-1.3269,-2.4521,-0.5401,0.5822,0.8403,-1.4434,2.2244,-0.4432,-0.4875,0.8077,-0.0845,267.6
2019,8,10,7,Monsoon,1,Residential,42.9,87.1,2.0,1.16,104.5,1238.0,2.0,29.0,7.0,211.6,323.4,124.7,56.8,3.97,56.1,9.72,20.34,26.8,999.4,9.8,-0.7987,-1.7662,-0.4141,-0.0127,1.0777,-0.0371,-1.1652,0.7044,-1.4616,-0.0784,0.9639,-0.6614,-2.0392,-2.2725,0.7653,-1.181,-1.2869,-0.8728,-2.1937,-0.3809,-1.1946,0.4852,-1.281,-0.5931,0.2105,0.8538,1.9136,0.9532,1.9353,-1.3577,341.8
2019,6,15,15,Monsoon,0,Industrial,42.5,62.7,5.9,3.18,14.2,167.0,5.6,98.0,14.2,79.8,113.6,49.8,19.5,1.74,90.6,3.55,7.42,28.5,1000.7,12.6,0.5301,0.1756,0.8903,0.5435,0.9249,-0.3592,0.8614,-0.5476,0.1971,-0.7692,-0.4735,0.0877,-1.107,0.4088,-0.9203,-2.1423,0.2221,-1.8059,-0.4222,0.5834,0.4918,-1.7386,-0.7049,0.7911,-0.7887,0.9355,0.6254,-0.6629,-0.0126,-0.6231,304.3
2022,2,11,6,Winter,0,Traffic,12.7,72.1,7.5,1.88,60.7,741.0,3.2,83.0,4.2,132.0,201.7,80.6,35.3,2.74,73.3,5.54,11.73,7.5,1009.3,12.1,0.7821,0.862,0.2591,-0.1271,-0.8534,0.8403,-0.2902,0.7937,0.5594,1.94,-0.7762,-0.4893,-0.4475,-1.3307,-0.0923,-1.1237,1.6426,-0.0679,2.6213,-0.3617,0.7077,-0.3934,0.2302,-0.2724,-0.604,1.5732,-0.791,0.1936,-0.0787,-0.0446,136.7
2021,7,22,7,Monsoon,0,Residential,16.0,32.6,2.3,0.23,76.6,926.0,2.0,90.0,5.1,,218.6,90.0,39.8,2.86,63.6,6.45,13.49,9.1,1009.7,11.6,-0.1039,-0.1361,-1.2397,0.9558,1.1349,1.5547,3.2896,-0.0621,-0.3389,1.0041,0.7008,1.3124,-0.4295,-1.0046,0.8923,0.2033,-0.267,0.3929,1.577,1.5862,2.7439,-0.648,-0.402,0.0756,-0.2461,1.3911,-0.1069,-0.9564,0.2044,-1.524,167.1
2022,3,1,11,Spring,1,Residential,17.0,52.1,0.5,1.98,84.5,1020.0,6.0,91.0,16.5,216.7,336.4,129.1,63.4,4.52,43.0,9.89,20.97,8.3,1007.5,9.5,-0.3887,0.5716,0.3542,-0.75,0.9692,-0.5863,-0.8401,-0.8067,0.2387,-0.0204,0.2383,0.4441,-1.0922,0.524,-0.7594,1.7995,-0.343,0.6236,-0.897,0.634,-0.5597,1.1284,-0.5951,-1.1383,-1.6222,-0.0187,-0.0507,-0.7459,2.2432,0.3189,270.9
2019,12,5,7,Winter,0,Residential,17.5,57.3,4.0,0.41,73.0,874.0,3.1,71.0,1.4,154.9,236.9,93.7,44.5,3.24,59.4,6.68,13.43,12.3,1007.5,11.3,-0.1927,0.1279,0.3045,-0.72,-0.1609,0.4177,-0.3027,-0.8628,-0.9323,-0.2504,1.0938,-0.0839,-0.7697,-0.3855,-0.4911,0.9682,0.7735,-0.7251,-1.1802,-0.4963,-2.3358,0.64,1.5404,0.3579,0.4237,-0.1306,0.5927,-2.2054,-0.0192,-0.3012,167.5
2020,4,19,4,Spring,0,Industrial,28.9,41.6,2.1,1.43,109.0,1301.0,5.1,102.0,12.7,254.0,382.6,149.5,70.8,5.21,47.3,11.54,23.85,16.9,1002.7,9.1,-0.4441,-3.1391,0.9109,-0.8414,-0.3274,1.0678,0.8488,-0.4068,0.4607,0.7978,0.3769,0.3987,1.5053,-0.9278,-0.1967,0.0059,0.4994,1.4129,0.1517,0.664,0.8267,0.6348,-0.8237,-0.0503,-0.2533,1.1395,-1.2605,0.614,-0.2615,-1.1688,279.7
2022,10,19,20,Autumn,0,Industrial,20.9,62.4,2.0,1.51,,790.0,2.9,73.0,17.2,156.4,234.1,93.0,46.0,3.34,58.3,7.08,14.85,13.9,1005.6,12.2,0.5752,-0.1781,0.1033,-0.7794,0.7227,-0.1986,-0.3413,-0.1059,-0.989,0.7721,0.5877,-0.3059,-1.6878,0.236,-0.7412,-0.4909,-0.1392,-1.2553,-1.0918,-0.4232,0.1233,-0.6359,-0.5893,-1.2618,-0.8421,-0.2231,0.4521,-0.6313,-0.3745,-1.9156,193.6
2021,10,25,12,Autumn,0,Residential,44.7,90.5,25.7,4.18,97.8,1174.0,1.0,104.0,8.8,135.3,205.8,81.3,37.6,3.0,76.8,,12.39,29.1,998.8,11.2,-0.7675,1.3876,0.7417,0.3516,0.5616,1.2615,-0.3186,-2.4075,0.2338,-1.9389,-0.3224,0.0879,2.4319,-0.1267,-0.5901,-2.2208,-0.7611,-1.772,-1.3202,1.3963,1.4863,-0.9106,-1.2055,-0.4599,-1.2271,-0.2834,0.1013,1.8309,1.8289,0.0532,261.7
2019,1,23,18,Winter,0,Traffic,43.1,65.6,7.7,1.24,48.8,589.0,7.5,109.0,7.6,164.5,243.2,99.0,45.1,3.22,71.2,7.31,15.52,26.5,998.9,11.2,-0.8433,0.3054,-0.5046,1.0172,1.3877,-0.3523,-0.238,0.5935,1.6896,-0.6326,0.3072,0.5961,0.7952,0.8773,-0.3409,-0.2944,-0.5804,-0.9492,0.2185,1.5151,0.0723,0.6553,0.3125,-1.1869,-0.1819,-0.4537,0.6386,-1.1768,-0.9243,-0.4805,350.0
2021,2,18,10,Winter,0,Industrial,25.9,84.1,6.5,,66.4,809.0,2.6,69.0,12.8,138.0,200.0,85.5,38.9,2.69,71.4,5.99,12.76,18.3,1005.8,12.0,-0.2272,-1.3533,-0.8268,1.1111,-0.5341,0.3554,-1.2966,0.2006,-2.1007,0.1648,0.1266,-0.0862,-0.4245,0.0162,0.1538,0.043,-1.1417,-0.8456,-0.5357,-0.1087,0.2879,-1.6116,0.3733,-0.9349,-1.532,0.5968,1.6783,1.1169,0.583,-1.8113,237.6
2022,4,27,9,Spring,1,Traffic,43.6,72.8,4.3,0.53,34.7,414.0,1.0,69.0,5.4,67.0,101.2,41.4,16.3,1.25,93.0,3.03,6.11,26.1,999.7,12.3,0.2886,1.0927,-0.1884,0.2637,0.2829,1.9488,-0.8687,-1.6121,1.0725,0.1577,-0.6553,0.8911,-0.5683,0.5284,0.5297,0.0721,0.6692,0.4762,0.8247,-0.4442,-1.7642,-0.7398,0.3943,-0.2196,-1.8816,-0.5969,1.5201,1.6757,-1.0265,0.9865,260.5
2023,5,7,15,Spring,1,Industrial,39.4,91.0,4.5,4.15,87.5,1046.0,1.9,91.0,10.6,171.6,258.9,102.7,,3.29,73.7,,15.27,27.0,1001.8,11.2,0.2791,-0.2136,-0.5089,1.3084,1.6227,-1.5216,-2.2767,1.2587,0.4286,2.2559,0.4458,0.0628,-0.0034,-0.1937,-0.0682,-0.6422,0.4531,-0.9531,-1.7279,0.3489,0.2098,-0.851,-0.6088,-0.0769,1.3545,0.5193,-0.0235,-1.9412,-0.8918,1.0047,339.2
2023,10,13,16,Autumn,1,Industrial,21.9,58.9,6.2,0.38,62.0,731.0,1.3,121.0,7.6,118.2,172.0,77.2,36.3,2.14,59.5,5.67,11.9,14.3,1005.9,11.2,-1.2927,-0.6116,-0.6891,0.1088,0.2765,0.9748,0.2069,-1.7097,-0.9868,-0.4728,-0.1023,-0.9994,1.3284,-0.3071,-0.3232,-1.9366,-0.2815,2.6225,-1.0258,0.7219,-0.4989,-0.1653,1.144,-0.5328,-0.3224,-0.3638,-0.0503,0.8392,1.5315,0.8364,153.9
2022,3,16,5,Spring,1,Residential,7.9,48.0,9.5,1.11,73.9,871.0,1.0,75.0,23.1,120.4,173.3,69.3,34.7,2.34,56.1,5.39,11.07,5.0,1010.6,12.0,1.5225,2.1656,-0.3624,0.3232,-1.7335,0.8817,0.75,1.5809,0.0398,-0.3299,-0.032,-0.852,-1.4495,-2.1462,-0.5348,-0.4948,-0.5718,-0.394,0.5528,0.4443,-0.4112,0.6161,0.4791,0.6726,-1.3679,1.0052,-0.5467,1.1472,0.1287,-0.6105,85.5
